[seed] global seed=42 deterministic=True
Stage2 arm=cnn_vmim_/n1_jitter/seed_s2 families=['nsf'] rows=9,120,000 t_dim=4 n_params=4 device=cpu split_seed=42 init_seed=42 seed_subdir=False
[t-scaling] STANDARDIZED: per-dim mean/std removed. outputs -> {arm}/nle/standard_t/<model>/

===== NLE family 'nsf' -> /gscratch/ddehiwalage-don/sbi_master/cnn_vmim_/n1_jitter/seed_s2/nle/standard_t/nsf =====
  batch 14000/25650 | loss -9.5792 | eta 2.8 min [nsf p1 chunk 10/10]
  batch 15000/25650 | loss -9.5807 | eta 2.6 min [nsf p1 chunk 10/10]
  batch 16000/25650 | loss -9.5831 | eta 2.3 min [nsf p1 chunk 10/10]
  batch 17000/25650 | loss -9.5841 | eta 2.1 min [nsf p1 chunk 10/10]
  batch 18000/25650 | loss -9.5853 | eta 1.8 min [nsf p1 chunk 10/10]
  batch 19000/25650 | loss -9.5863 | eta 1.6 min [nsf p1 chunk 10/10]
  batch 20000/25650 | loss -9.5875 | eta 1.4 min [nsf p1 chunk 10/10]
  batch 21000/25650 | loss -9.5867 | eta 1.1 min [nsf p1 chunk 10/10]
  batch 22000/25650 | loss -9.5869 | eta 0.9 min [nsf p1 chunk 10/10]
  batch 23000/25650 | loss -9.5879 | eta 0.7 min [nsf p1 chunk 10/10]
  batch 24000/25650 | loss -9.5893 | eta 0.4 min [nsf p1 chunk 10/10]
  batch 25000/25650 | loss -9.5919 | eta 0.2 min [nsf p1 chunk 10/10]
[nsf|p1] chunk 10/10 | train -9.5909 | val -8.4935
  batch 1000/51300 | loss -10.2553 | eta 12.1 min [nsf p2 chunk 1/5]
  batch 2000/51300 | loss -10.2560 | eta 11.8 min [nsf p2 chunk 1/5]
  batch 3000/51300 | loss -10.2734 | eta 11.5 min [nsf p2 chunk 1/5]
  batch 4000/51300 | loss -10.2763 | eta 11.4 min [nsf p2 chunk 1/5]
  batch 5000/51300 | loss -10.2845 | eta 11.2 min [nsf p2 chunk 1/5]
  batch 6000/51300 | loss -10.2898 | eta 10.8 min [nsf p2 chunk 1/5]
  batch 7000/51300 | loss -10.2919 | eta 10.7 min [nsf p2 chunk 1/5]
  batch 8000/51300 | loss -10.2934 | eta 10.5 min [nsf p2 chunk 1/5]
  batch 9000/51300 | loss -10.2947 | eta 10.6 min [nsf p2 chunk 1/5]
  batch 10000/51300 | loss -10.2938 | eta 10.0 min [nsf p2 chunk 1/5]
  batch 11000/51300 | loss -10.2978 | eta 9.8 min [nsf p2 chunk 1/5]
  batch 12000/51300 | loss -10.3056 | eta 9.5 min [nsf p2 chunk 1/5]
  batch 13000/51300 | loss -10.3078 | eta 9.2 min [nsf p2 chunk 1/5]
